Yes No
0.447172 0.552828
0.437472 0.562528
0.461893 0.538107
0.400414 0.599586
0.555185 0.444815
0.400414 0.599586
0.461893 0.538107
0.437472 0.562528
0.447172 0.552828
0.443319 0.556681
0.444850 0.555150
0.444242 0.555758
0.444483 0.555517
0.444387 0.555613
0.444425 0.555575
0.444410 0.555590
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444414 0.555586
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444396 0.555604
0.444462 0.555538
0.444295 0.555705
0.444716 0.555284
0.443655 0.556345
0.446326 0.553674
0.439603 0.560397
0.456528 0.543472
0.413919 0.586081
0.521188 0.478812
0.483621 0.516379
0.483621 0.516379
0.521187 0.478813
0.413920 0.586080
0.456524 0.543476
0.439614 0.560386
0.446299 0.553701
0.443724 0.556276
0.444543 0.555457
0.444730 0.555270
0.443367 0.556633
0.447153 0.552847
0.437479 0.562521
0.461890 0.538110
0.400415 0.599585
0.555185 0.444815
0.400414 0.599586
0.461892 0.538108
0.437472 0.562528
0.447172 0.552828
0.443319 0.556681
0.444850 0.555150
0.444242 0.555758
0.444483 0.555517
0.444387 0.555613
0.444425 0.555575
0.444410 0.555590
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444396 0.555604
0.444462 0.555538
0.444295 0.555705
0.444716 0.555284
0.443655 0.556345
0.446326 0.553674
0.439603 0.560397
0.456528 0.543472
0.413919 0.586081
0.521188 0.478812
0.483621 0.516379
0.483621 0.516379
0.521188 0.478812
0.413919 0.586081
0.456528 0.543472
0.439603 0.560397
0.446326 0.553674
0.443655 0.556345
0.444716 0.555284
0.444295 0.555705
0.444462 0.555538
0.444396 0.555604
0.444421 0.555579
0.444415 0.555585
0.444406 0.555594
0.444438 0.555562
0.444356 0.555644
0.444563 0.555437
0.444041 0.555959
0.445355 0.554645
0.442047 0.557953
0.450376 0.549624
0.429406 0.570594

0.462067 0.537933
0.437403 0.562597
0.447200 0.552800
0.443308 0.556692
0.444854 0.555146
0.444240 0.555760
0.444484 0.555516
0.444387 0.555613
0.444425 0.555575
0.444412 0.555588
0.444412 0.555588
0.444425 0.555575
0.444388 0.555612
0.444483 0.555517
0.444242 0.555758
0.444850 0.555150
0.443319 0.556681
0.447172 0.552828
0.437472 0.562528
0.461893 0.538107
0.400414 0.599586
0.555185 0.444815
0.400414 0.599586
0.461893 0.538107
0.437472 0.562528
0.447172 0.552828
0.443319 0.556681
0.444850 0.555150
0.444242 0.555758
0.444483 0.555517
0.444387 0.555613
0.444425 0.555575
0.444410 0.555590
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444395 0.555605
0.444464 0.555536
0.444291 0.555709
0.444725 0.555275
0.443634 0.556366
0.446380 0.553620
0.439466 0.560534
0.456873 0.543127
0.413052 0.586948
0.523370 0.476630
0.478279 0.521721
0.496713 0.503287
0.489167 0.510833
0.492281 0.507719
0.490937 0.509063
0.491661 0.508339
0.490937 0.509063
0.492281 0.507719
0.489167 0.510833
0.496713 0.503287
0.478279 0.521721
0.523370 0.476630
0.413052 0.586948
0.456873 0.543127
0.439466 0.560534
0.446380 0.553620
0.443634 0.556366
0.444725 0.555275
0.444291 0.555709
0.444464 0.555536
0.444395 0.555605
0.444422 0.555578
0.444412 0.555588
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444410 0.555590
0.444425 0.555575
0.444387 0.555613
0.444483 0.555517
0.444242 0.555758
0.444850 0.555150
0.443319 0.556681
0.447172 0.552828
0.437472 0.562528
0.461892 0.538108
0.400414 0.599586
0.555184 0.444816
0.400416 0.599584
0.461888 0.538112
0.437483 0.562517
0.447145 0.552855
0.443388 0.556612
0.444677 0.555323
0.444677 0.555323
0.443388 0.556612
0.447145 0.552855
0.437483 0.562517
0.461888 0.538112
0.400416 0.599584
0.555185 0.444815
0.400414 0.599586
0.461893 0.538107
0.437470 0.562530
0.447178 0.552822
0.443304 0.556696
0.444887 0.555113
0.444148 0.555852
0.444720 0.555280
0.443792 0.556208
0.445925 0.554075
0.440634 0.559366
0.453922 0.546078
0.420483 0.579517
0.504662 0.495338
0.524068 0.475932
0.384476 0.615524
0.541448 0.458552
0.455342 0.544658
0.544239 0.455761
0.376509 0.623491
0.545119 0.454881
0.452845 0.547155
0.547716 0.452284
0.369092 0.630908
0.563834 0.436166
0.407110 0.592890
0.432363 0.567637
0.515482 0.484518
0.481493 0.518507
0.495426 0.504574
0.489629 0.510371
0.492249 0.507751
0.490566 0.509434
0.492751 0.507249
0.488196 0.511804
0.499018 0.500982
0.472670 0.527330
0.537082 0.462918
0.379509 0.620491
0.543301 0.456699
0.455024 0.544976
0.543299 0.456701
0.379514 0.620486
0.537068 0.462932
0.472703 0.527297
0.498938 0.501062
0.488391 0.511609
0.492273 0.507727
0.491735 0.508265
0.489390 0.510610
0.496623 0.503377
0.478314 0.521686
0.523363 0.476637
0.413039 0.586961
0.456919 0.543081
0.439345 0.560655
0.446689 0.553311
0.442858 0.557142
0.446680 0.553320
0.439370 0.560630
0.456853 0.543147
0.413205 0.586795
0.522944 0.477056
0.479337 0.520663
0.494114 0.505886
0.495527 0.504473
0.476716 0.523284
0.529017 0.470983
0.398487 0.601513

0.462067 0.537933
0.437403 0.562597
0.447200 0.552800
0.443308 0.556692
0.444854 0.555146
0.444241 0.555759
0.444482 0.555518
0.444393 0.555607
0.444411 0.555589
0.444447 0.555553
0.444324 0.555676
0.444646 0.555354
0.443831 0.556169
0.445883 0.554117
0.440717 0.559283
0.453724 0.546276
0.420977 0.579023
0.503418 0.496582
0.527111 0.472889
0.377018 0.622982
0.560583 0.439417
0.408437 0.591563
0.431778 0.568222
0.515892 0.484108
0.480908 0.519092
0.496689 0.503311
0.486612 0.513388
0.499605 0.500395
0.472581 0.527419
0.536752 0.463248
0.380542 0.619458
0.540546 0.459454
0.461814 0.538186
0.526621 0.473379
0.420303 0.579697
0.431697 0.568303
0.504803 0.495197
0.512532 0.487468
0.417357 0.582643
0.455163 0.544837
0.440146 0.559854
0.446110 0.553890
0.443743 0.556257
0.444678 0.555322
0.444319 0.555681
0.444430 0.555570
0.444467 0.555533
0.444248 0.555752
0.444847 0.555153
0.443320 0.556680
0.447172 0.552828
0.437472 0.562528
0.461893 0.538107
0.400414 0.599586
0.555185 0.444815
0.400414 0.599586
0.461893 0.538107
0.437472 0.562528
0.447174 0.552826
0.443316 0.556684
0.444857 0.555143
0.444222 0.555778
0.444532 0.555468
0.444264 0.555736
0.444735 0.555265
0.443630 0.556370
0.446380 0.553620
0.439469 0.560531
0.456863 0.543137
0.413076 0.586924
0.523308 0.476692
0.478430 0.521570
0.496344 0.503656
0.490070 0.509930
0.490070 0.509930
0.496344 0.503656
0.478430 0.521570
0.523308 0.476692
0.413076 0.586924
0.456863 0.543137
0.439470 0.560530
0.446379 0.553621
0.443634 0.556366
0.444725 0.555275
0.444292 0.555708
0.444464 0.555536
0.444395 0.555605
0.444422 0.555578
0.444411 0.555589
0.444416 0.555584
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444396 0.555604
0.444462 0.555538
0.444295 0.555705
0.444716 0.555284
0.443655 0.556345
0.446326 0.553674
0.439603 0.560397
0.456528 0.543472
0.413919 0.586081
0.521188 0.478812
0.483621 0.516379
0.483621 0.516379
0.521188 0.478812
0.413919 0.586081
0.456528 0.543472
0.439603 0.560397
0.446326 0.553674
0.443655 0.556345
0.444716 0.555284
0.444295 0.555705
0.444462 0.555538
0.444396 0.555604
0.444422 0.555578
0.444412 0.555588
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444410 0.555590
0.444425 0.555575
0.444387 0.555613
0.444483 0.555517
0.444242 0.555758
0.444850 0.555150
0.443319 0.556681
0.447172 0.552828
0.437472 0.562528
0.461893 0.538107
0.400414 0.599586
0.555185 0.444815
0.400414 0.599586
0.461893 0.538107
0.437472 0.562528
0.447172 0.552828
0.443319 0.556681
0.444850 0.555150
0.444242 0.555758
0.444483 0.555517
0.444387 0.555613
0.444425 0.555575
0.444410 0.555590
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444410 0.555590
0.444425 0.555575
0.444387 0.555613
0.444483 0.555517
0.444242 0.555758
0.444850 0.555150
0.443319 0.556681
0.447173 0.552827
0.437471 0.562529
0.461894 0.538106
0.400411 0.599589
0.555193 0.444807
0.400395 0.599605
0.461943 0.538057
0.437347 0.562653
0.447488 0.552512
0.442526 0.557474
0.446847 0.553153
0.439214 0.560786
0.457142 0.542858
0.412520 0.587480
0.524653 0.475347
0.475163 0.524837
0.504344 0.495656
0.470510 0.529490
0.537939 0.462061
0.379235 0.620765
0.543261 0.456739
0.455406 0.544594
0.542243 0.457757
0.382143 0.617857
0.530255 0.469745
0.489423 0.510577

0.461943 0.538057
0.437712 0.562288
0.446417 0.553583
0.445277 0.554723
0.439895 0.560105
0.456721 0.543279
0.413061 0.586939
0.523490 0.476510
0.477928 0.522072
0.497598 0.502402
0.486995 0.513005
0.497602 0.502398
0.477917 0.522083
0.523518 0.476482
0.412993 0.587007
0.456896 0.543104
0.439457 0.560543
0.446384 0.553616
0.443632 0.556368
0.444725 0.555275
0.444291 0.555709
0.444464 0.555536
0.444395 0.555605
0.444422 0.555578
0.444412 0.555588
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444410 0.555590
0.444425 0.555575
0.444387 0.555613
0.444483 0.555517
0.444242 0.555758
0.444850 0.555150
0.443319 0.556681
0.447172 0.552828
0.437472 0.562528
0.461892 0.538108
0.400415 0.599585
0.555182 0.444818
0.400421 0.599579
0.461874 0.538126
0.437519 0.562481
0.447054 0.552946
0.443616 0.556384
0.444102 0.555898
0.446123 0.553877
0.439746 0.560254
0.456312 0.543688
0.414405 0.585595
0.519986 0.480014
0.486553 0.513447
0.476436 0.523564
0.538757 0.461243
0.370922 0.629078
0.567235 0.432765
0.395627 0.604373
0.463794 0.536206
0.436717 0.563283
0.447472 0.552528
0.443200 0.556800
0.444897 0.555103
0.444223 0.555777
0.444491 0.555509
0.444384 0.555616
0.444427 0.555573
0.444410 0.555590
0.444417 0.555583
0.444414 0.555586
0.444415 0.555585
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444395 0.555605
0.444464 0.555536
0.444290 0.555710
0.444728 0.555272
0.443625 0.556375
0.446402 0.553598
0.439410 0.560590
0.457013 0.542987
0.412698 0.587302
0.524261 0.475739
0.476100 0.523900
0.502057 0.497943
0.476100 0.523900
0.524261 0.475739
0.412698 0.587302
0.457013 0.542987
0.439410 0.560590
0.446402 0.553598
0.443625 0.556375
0.444728 0.555272
0.444291 0.555709
0.444461 0.555539
0.444403 0.555597
0.444403 0.555597
0.444460 0.555540
0.444293 0.555707
0.444723 0.555277
0.443638 0.556362
0.446371 0.553629
0.439489 0.560511
0.456815 0.543185
0.413197 0.586803
0.523005 0.476995
0.479173 0.520827
0.494523 0.505477
0.494523 0.505477
0.479173 0.520827
0.523004 0.476996
0.413198 0.586802
0.456812 0.543188
0.439497 0.560503
0.446350 0.553650
0.443691 0.556309
0.444589 0.555411
0.444631 0.555369
0.443609 0.556391
0.446546 0.553454
0.439007 0.560993
0.458044 0.541956
0.410097 0.589903
0.530812 0.469188
0.460065 0.539935
0.541361 0.458639
0.379974 0.620026
0.537632 0.462368
0.470646 0.529354
0.504262 0.495738
0.475261 0.524739
0.524455 0.475545
0.412985 0.587015
0.455950 0.544050
0.442192 0.557808
0.439328 0.560672
0.461433 0.538567
0.399868 0.600132
0.557207 0.442793
0.395209 0.604791
0.475566 0.524434
0.403347 0.596653
0.533489 0.466511
0.459177 0.540823
0.541225 0.458775
0.381256 0.618744
0.533935 0.466065
0.479863 0.520137
0.481583 0.518417
0.530744 0.469256
0.388649 0.611351
0.522366 0.477634
0.505357 0.494643
0.420207 0.579793
0.454030 0.545970
0.440595 0.559405
0.445932 0.554068
0.443812 0.556188
0.444654 0.555346
0.444320 0.555680
0.444452 0.555548
0.444400 0.555600
0.444421 0.555579
0.444412 0.555588
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444410 0.555590
0.444425 0.555575
0.444387 0.555613
0.444483 0.555517
0.444242 0.555758
0.444850 0.555150
0.443319 0.556681
0.447172 0.552828
0.437472 0.562528
0.461893 0.538107
0.400414 0.599586
0.555185 0.444815
0.400414 0.599586
0.461893 0.538107
0.437472 0.562528
0.447172 0.552828
0.443319 0.556681
0.444850 0.555150
0.444242 0.555758
0.444483 0.555517
0.444387 0.555613
0.444426 0.555574
0.444410 0.555590
0.444417 0.555583
0.444412 0.555588
0.444419 0.555581
0.444405 0.555595
0.444438 0.555562
0.444356 0.555644
0.444563 0.555437
0.444041 0.555959
0.445355 0.554645
0.442047 0.557953
0.450376 0.549624
0.429406 0.570594

0.585792 0.414208
0.361318 0.638682
0.548990 0.451010
0.456953 0.543047
0.532084 0.467916
0.409590 0.590410
0.458248 0.541752
0.438920 0.561080
0.446597 0.553403
0.443548 0.556452
0.444759 0.555241
0.444278 0.555722
0.444469 0.555531
0.444393 0.555607
0.444423 0.555577
0.444411 0.555589
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444395 0.555605
0.444464 0.555536
0.444291 0.555709
0.444725 0.555275
0.443634 0.556366
0.446380 0.553620
0.439466 0.560534
0.456873 0.543127
0.413052 0.586948
0.523369 0.476631
0.478281 0.521719
0.496709 0.503291
0.489178 0.510822
0.492255 0.507745
0.490999 0.509001
0.491510 0.508490
0.491307 0.508693
0.491374 0.508626
0.491387 0.508613
0.491283 0.508717
0.491567 0.508433
0.490859 0.509141
0.492596 0.507404
0.488345 0.511655
0.498746 0.501254
0.473298 0.526702
0.535561 0.464439
0.383224 0.616776
0.533730 0.466270
0.478492 0.521508
0.485713 0.514287
0.520332 0.479668
0.414259 0.585741
0.456390 0.543610
0.439664 0.560336
0.446285 0.553715
0.443713 0.556287
0.444590 0.555410
0.444605 0.555395
0.443684 0.556316
0.446353 0.553647
0.439496 0.560504
0.456812 0.543188
0.413198 0.586802
0.523004 0.476996
0.479173 0.520827
0.494523 0.505477
0.494523 0.505477
0.479173 0.520827
0.523005 0.476995
0.413197 0.586803
0.456815 0.543185
0.439489 0.560511
0.446371 0.553629
0.443637 0.556363
0.444723 0.555277
0.444292 0.555708
0.444463 0.555537
0.444395 0.555605
0.444422 0.555578
0.444412 0.555588
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444411 0.555589
0.444422 0.555578
0.444395 0.555605
0.444464 0.555536
0.444289 0.555711
0.444730 0.555270
0.443620 0.556380
0.446415 0.553585
0.439380 0.560620
0.457090 0.542910
0.412504 0.587496
0.524750 0.475250
0.474903 0.525097
0.504990 0.495010
0.468926 0.531074
0.541817 0.458183
0.369748 0.630252
0.567716 0.432284
0.395434 0.604566
0.463876 0.536124
0.436670 0.563330
0.447525 0.552475
0.443093 0.556907
0.445158 0.554842
0.443571 0.556429
0.446131 0.553869
0.440255 0.559745
0.454821 0.545179
0.418243 0.581757
0.510292 0.489708
0.510290 0.489710
0.418248 0.581752
0.454809 0.545191
0.440286 0.559714
0.446055 0.553945
0.443763 0.556237
0.444673 0.555327
0.444312 0.555688
0.444455 0.555545
0.444398 0.555602
0.444421 0.555579
0.444412 0.555588
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444396 0.555604
0.444462 0.555538
0.444296 0.555704
0.444713 0.555287
0.443664 0.556336
0.446305 0.553695
0.439655 0.560345
0.456397 0.543603
0.414249 0.585751
0.520356 0.479644
0.485655 0.514345
0.478633 0.521367
0.533385 0.466615
0.384069 0.615931
0.533385 0.466615
0.478633 0.521367
0.485655 0.514345
0.520356 0.479644
0.414249 0.585751
0.456397 0.543603
0.439655 0.560345
0.446305 0.553695
0.443664 0.556336
0.444713 0.555287
0.444296 0.555704
0.444462 0.555538
0.444396 0.555604
0.444422 0.555578
0.444412 0.555588
0.444414 0.555586
0.444418 0.555582
0.444405 0.555595
0.444438 0.555562
0.444356 0.555644
0.444563 0.555437
0.444041 0.555959
0.445355 0.554645
0.442047 0.557953
0.450376 0.549624
0.429406 0.570594

0.462067 0.537933
0.437403 0.562597
0.447200 0.552800
0.443308 0.556692
0.444854 0.555146
0.444240 0.555760
0.444484 0.555516
0.444387 0.555613
0.444426 0.555574
0.444410 0.555590
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444416 0.555584
0.444412 0.555588
0.444422 0.555578
0.444395 0.555605
0.444463 0.555537
0.444292 0.555708
0.444723 0.555277
0.443639 0.556361
0.446368 0.553632
0.439496 0.560504
0.456797 0.543203
0.413243 0.586757
0.522888 0.477112
0.479459 0.520541
0.493821 0.506179
0.496241 0.503759
0.474968 0.525032
0.533291 0.466709
0.388029 0.611971
0.521657 0.478343
0.507981 0.492019
0.413404 0.586596
0.471606 0.528394
0.396541 0.603459
0.557132 0.442868
0.398749 0.601251
0.464907 0.535093
0.430459 0.569541
0.464706 0.535294
0.399335 0.600665
0.555626 0.444374
0.400239 0.599761
0.461962 0.538038
0.437444 0.562556
0.447183 0.552817
0.443315 0.556685
0.444851 0.555149
0.444241 0.555759
0.444484 0.555516
0.444387 0.555613
0.444425 0.555575
0.444410 0.555590
0.444416 0.555584
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444414 0.555586
0.444415 0.555585
0.444414 0.555586
0.444417 0.555583
0.444410 0.555590
0.444427 0.555573
0.444383 0.555617
0.444494 0.555506
0.444215 0.555785
0.444918 0.555082
0.443148 0.556852
0.447604 0.552396
0.436385 0.563615
0.464629 0.535371
0.393524 0.606476
0.572530 0.427470
0.357963 0.642037
0.572530 0.427470
0.393524 0.606476
0.464629 0.535371
0.436385 0.563615
0.447604 0.552396
0.443148 0.556852
0.444918 0.555082
0.444215 0.555785
0.444494 0.555506
0.444383 0.555617
0.444427 0.555573
0.444410 0.555590
0.444417 0.555583
0.444414 0.555586
0.444415 0.555585
0.444414 0.555586
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
0.444415 0.555585
